#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-02T16:26:09 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-02T16:26:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/278/28&-out.max=1000&-out.add=_RAJ2000,_DEJ2000&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22780028
#Name: J/ApJS/278/28
#Title: CL-AGN from the DESI. II. Stat. properties from DR1 (Guo+, 2025)
#INFO	ivoid=ivo://cds.vizier/j/apjs/278/28	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/278/28	    IVOID of underlying data collection
#INFO	creator=Guo W.-J.	    First author or institution
#INFO	cites=bibcode:2025ApJS..278...28G	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2025	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/278/28	    Dataset landing page
#INFO	publication_date=2026-05-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_278_28_spdesi:
#Name: J/ApJS/278/28/spdesi
#Title: Metadata for DESI spectra used and the luminosities and masses derived
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	TargetID	(I19)	DESI target identifier (TARGETID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension, DESI (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-10.1/68] Declination, DESI (J2000) (Dec)	[ucd=pos.eq.dec;meta.main]
#Column	zspec	(F8.5)	[0.059/0.9] Spectroscopic redshift from DESI (Redshift)	[ucd=src.redshift]
#Column	Survey	(a7)	Survey ID (SURVEY) (1)	[ucd=meta.id]
#Column	Prog	(A6)	DESI program ID (PROGRAM)	[ucd=meta.id;obs]
#Column	Healpix	(I5)	[34/49105] HEALPIX pixel ID (HEALPIX)	[ucd=meta.id;pos.frame]
#Column	MJD	(I5)	[51578/58514] Mean modified Julian Data of coadded spectra (MJD)	[ucd=time.epoch;stat.mean]
#Column	logL5100	(F8.5)	[40.3/45.2] Log, Continuum luminosity at 5100{AA} (LOG_L5100)	[ucd=phys.luminosity;em.opt]
#Column	e_logL5100	(F9.5)	[0.0028/146.5] Uncertainty in logL5100 (LOG_L5100_ERR)	[ucd=stat.error;phys.luminosity;em.opt]
#Column	logL2500	(F8.5)	[40/45.5] Log, Extrapolated luminosity at 2500{AA} (LOG_L2500)	[ucd=phys.luminosity;em.UV.200-300nm]
#Column	e_logL2500	(F9.5)	[0.0028/146.5] Uncertainty in logL2500 (LOG_L2500_ERR)	[ucd=stat.error;phys.luminosity;em.UV.200-300nm]
#Column	logLMgII	(F8.5)	[39.6/43.7]? Log, broad MgII line luminosity (LOG_LMgII)	[ucd=phys.luminosity;spect.line]
#Column	e_logLMgII	(F8.5)	[0.028/3]? Uncertainty in logLMgII (LOG_LMgII_ERR)	[ucd=stat.error;phys.luminosity;spect.line]
#Column	logLHb	(F8.5)	[36.3/43.4] Log, broad H{beta} line luminosity (LOG_LHB)	[ucd=phys.luminosity;em.line.Hbeta]
#Column	e_logLHb	(F9.6)	[0/3] Uncertainty in logLHb (LOG_LHB_ERR)	[ucd=stat.error;phys.luminosity;em.line.Hbeta]
#Column	logLHa	(F8.5)	[39.29/43.3]? Log, broad H{alpha} line luminosity (LOG_LHA)	[ucd=phys.luminosity;em.line.Halpha]
#Column	e_logLHa	(F9.6)	[0/2.6]? Uncertainty in logLHa (LOG_LHA_ERR)	[ucd=stat.error;phys.luminosity;em.line.Halpha]
#Column	logMBH-Hb	(F8.5)	[6.49/9.51]? Log, black hole mass from H{beta} (LOG_MBH_HB)	[ucd=phys.mass]
#Column	e_logMBH-Hb	(F8.5)	[0.12/0.9]? Uncertainty in logMBH-Hb (LOG_MBH_HB_ERR)	[ucd=stat.error;phys.mass]
#Column	logMBH-Ha	(F8.5)	[5.2/9.2]? Log, black hole mass from H{alpha} (LOG_MBH_HA)	[ucd=phys.mass]
#Column	e_logMBH-Ha	(F8.5)	[0.13/85]? Uncertainty in logMBH-Ha (LOG_MBH_HA_ERR)	[ucd=stat.error;phys.mass]
_RAJ2000	_DEJ2000	recno	TargetID	RAJ2000	DEJ2000	zspec	Survey	Prog	Healpix	MJD	logL5100	e_logL5100	logL2500	e_logL2500	logLMgII	e_logLMgII	logLHb	e_logLHb	logLHa	e_logLHa	logMBH-Hb	e_logMBH-Hb	logMBH-Ha	e_logMBH-Ha
deg	deg	 	 	deg	deg	 	 	 	 	d	[10-7W]	[10-7W]	[10-7W]	[10-7W]	[10-7W]	[10-7W]	[10-7W]	[10-7W]	[10-7W]	[10-7W]	[Msun]	[Msun]	[Msun]	[Msun]
-----------	-----------	--------	-------------------	---------	---------	--------	-------	------	-----	-----	--------	---------	--------	---------	--------	--------	--------	---------	--------	---------	--------	--------	--------	--------
000.2007200	+01.5537900	       1	  39627820967665156	000.20072	+01.55379	 0.66649	main   	dark  	19459	55499	44.35302	  0.02303	44.76091	  0.02303	43.24871	 0.10857	42.37702	 0.164420	        	         	 9.04245	 0.14958	        	
001.7056700	+11.9138900	       2	  39628072852393608	001.70567	+11.91389	 0.47250	main   	dark  	19653	58485	43.16457	  0.25235	43.33411	  0.25235	41.85392	 1.19346	41.18523	 0.675790	        	         	        	        	        	
001.8351600	+00.0506500	       3	  39627784758234289	001.83516	+00.05065	 0.45631	main   	bright	18089	55478	43.53799	  0.15879	43.69363	  0.15879	42.02420	 2.30128	40.69715	 0.921180	        	         	        	        	        	
002.1822600	+06.5474300	       4	  39627941579066936	002.18226	+06.54743	 0.55669	main   	dark  	19487	55855	44.00288	  0.06007	44.00890	  0.06007	42.67516	 1.37478	42.42846	 0.045720	        	         	 8.86716	 0.19337	        	
003.0260900	-09.7601100	       5	  39627550221145292	003.02609	-09.76011	 0.56699	main   	dark  	17254	52141	43.63953	  0.10738	43.91528	  0.10738	42.41602	 1.84891	41.77286	 0.353550	        	         	        	        	        	
003.4403100	+29.3582200	       6	  39628462360625305	003.44031	+29.35822	 0.09466	main   	bright	20323	56273	42.78573	  0.04118	42.54298	  0.04118	        	        	40.88003	 0.077070	41.30783	 0.030000	        	        	 7.25865	 0.15447
003.6186000	-04.4140400	       7	  39627676129955588	003.61860	-04.41404	 0.48515	main   	dark  	17366	57358	43.69020	  0.07241	43.82846	  0.07241	42.59750	 0.44403	42.11723	 0.082830	        	         	        	        	        	
003.9739000	+04.0109600	       8	  39627881403390987	003.97390	+04.01096	 0.75937	main   	dark  	19476	55827	44.53005	  0.04813	44.81344	  0.04813	43.42919	 1.08956	43.09830	 0.027200	        	         	 8.65628	 0.12836	        	
004.2620000	+25.0999100	       9	  39628370744445206	004.26200	+25.09991	 0.24358	main   	dark  	20247	56243	42.87009	  0.08575	42.84913	  0.08575	        	        	40.89895	 0.180710	41.35733	 0.049800	        	        	 7.08739	 0.14694
004.4948500	+20.5687500	      10	  39628270269894164	004.49485	+20.56875	 0.77997	main   	dark  	19890	56265	44.72113	  0.00510	45.07992	  0.00510	43.18916	 1.15534	42.79962	 0.055860	        	         	 8.44250	 0.13837	        	
005.8587300	+28.3535800	      11	  39628441154227229	005.85873	+28.35358	 0.24300	main   	bright	20300	57361	44.29870	  0.00585	45.12093	  0.00585	        	        	42.57108	 0.027850	43.16059	 0.003630	 8.99259	 0.12523	 9.10716	 0.13080
006.0294900	+01.1062300	      12	  39627808988726415	006.02949	+01.10623	 0.82433	main   	dark  	18097	58048	44.59139	  0.03520	45.03205	  0.03520	43.63205	 2.62398	43.36895	 0.021160	        	         	 8.91998	 0.12794	        	
007.5491500	+10.2523600	      13	  39628031400086974	007.54915	+10.25236	 0.32902	main   	dark  	19547	56220	42.83256	  0.23237	42.52296	  0.23237	        	        	41.06900	 0.256360	41.89463	 0.028320	        	        	 7.63920	 0.19328
007.5648500	+03.0552800	      14	  39627857332275363	007.56485	+03.05528	 0.64331	main   	dark  	18103	55810	43.83637	  0.07072	44.03715	  0.07072	42.74174	 0.21715	42.18094	 0.106570	        	         	 8.54606	 0.16179	        	
007.7036500	+15.5772000	      15	  39628155207551706	007.70365	+15.57720	 0.58639	main   	dark  	19758	56248	44.10210	  0.03991	44.28556	  0.03991	42.65237	 0.10857	42.31985	 0.067450	        	         	 8.56679	 0.13295	        	
010.4211200	-00.3271800	      16	  39627778861046520	010.42112	-00.32718	 0.46395	main   	bright	18069	52199	43.99537	  0.10906	44.33913	  0.10906	        	        	42.01830	 0.215950	        	         	        	        	        	
010.9139000	+13.7434600	      17	  39628114283727031	010.91390	+13.74346	 0.52702	main   	dark  	19727	58462	44.13809	  0.01716	44.40639	  0.01716	42.86177	 0.08686	42.38309	 0.048030	        	         	        	        	        	
011.2461900	-01.1081400	      18	  39627760754237619	011.24619	-01.10814	 0.22846	main   	bright	17983	55186	43.29284	  0.06035	43.25055	  0.06035	        	        	39.16618	 0.108570	39.29245	 0.108570	        	        	        	
011.3011000	+00.4742100	      19	  39627796997212219	011.30110	+00.47421	 0.51795	main   	dark  	18112	55186	44.23561	  0.02102	44.86416	  0.02102	43.21145	 0.21715	42.49657	 0.088470	        	         	 8.41920	 0.22015	        	
011.7235300	+05.5685300	      20	  39627917688312384	011.72353	+05.56853	 0.78997	main   	dark  	18160	55867	44.07455	  0.15152	43.76498	  0.15152	42.08577	 1.17975	39.60589	 0.217150	        	         	        	        	        	
013.3724800	+12.0739600	      21	  39628073045329507	013.37248	+12.07396	 0.48500	main   	bright	19717	56245	44.21465	  0.03938	44.48335	  0.03938	42.89781	 0.08686	42.34198	 0.094680	        	         	 8.23545	 0.14847	        	
013.5142400	+15.7468400	      22	  39628161134100985	013.51424	+15.74684	 0.43317	main   	dark  	19742	51871	43.50795	  0.11725	43.36857	  0.11725	        	        	41.66504	 0.145360	        	         	        	        	        	
