ra,dec,label
0.200720,1.553790,1
1.705670,11.913890,1
1.835160,0.050650,1
2.182260,6.547430,1
3.026090,-9.760110,1
3.440310,29.358220,1
3.618600,-4.414040,1
3.973900,4.010960,1
4.262000,25.099910,1
4.494850,20.568750,1
5.858730,28.353580,1
6.029490,1.106230,1
7.549150,10.252360,1
7.564850,3.055280,1
7.703650,15.577200,1
10.421120,-0.327180,1
10.913900,13.743460,1
11.246190,-1.108140,1
11.301100,0.474210,1
11.723530,5.568530,1
13.372480,12.073960,1
13.514240,15.746840,1
13.602000,4.739220,1
14.327270,24.942200,1
14.956290,27.006750,1
15.348520,1.012590,1
17.113310,23.152840,1
17.222440,10.318620,1
17.877520,4.937640,1
18.299250,1.595130,1
18.900480,0.564590,1
18.998120,6.560780,1
19.239710,18.689970,1
19.388750,1.120060,1
19.925520,-0.317210,1
19.980320,3.500080,1
19.992010,0.730640,1
20.190530,3.493640,1
20.572610,-0.299800,1
20.972800,0.160780,1
21.064520,24.198430,1
21.067470,6.404380,1
21.527150,7.719410,1
22.780910,0.703840,1
23.058540,-2.527110,1
23.234690,0.723930,1
23.258720,14.170970,1
23.746910,-0.597450,1
25.381350,-9.431660,1
25.474890,1.084850,1
25.565280,8.107440,1
25.588010,22.460980,1
26.061620,-5.981600,1
26.400650,25.988590,1
27.770260,11.266290,1
28.290680,22.074790,1
29.055970,26.470650,1
29.457170,31.435670,1
29.519800,-0.872750,1
29.555990,-1.742210,1
29.689400,23.670050,1
29.690770,-0.360710,1
30.100500,0.093210,1
30.242640,0.232130,1
30.545280,15.587590,1
31.239710,-0.965490,1
31.321790,-6.242150,1
31.589750,3.724690,1
31.723970,-7.875350,1
31.933590,-6.165560,1
32.036520,0.516370,1
33.644120,1.018850,1
34.469160,-4.065520,1
34.538370,2.196630,1
35.109540,-4.273220,1
35.191260,-5.854610,1
35.738320,-0.530560,1
36.043240,-2.776580,1
36.204260,-0.659860,1
37.044260,-1.814770,1
39.341430,-1.037840,1
39.596940,-6.272200,1
40.977300,3.443200,1
41.126620,4.745390,1
41.286160,0.619630,1
41.430140,-0.236650,1
41.975140,4.483980,1
44.831300,-7.381240,1
47.685130,-8.264490,1
47.982910,-0.279530,1
48.884500,0.917670,1
62.287040,-6.123720,1
111.733660,41.026680,1
112.948240,38.756990,1
113.293990,28.692540,1
113.461690,44.130600,1
114.037440,35.787800,1
114.318310,38.034000,1
115.446720,30.545290,1
116.523800,22.278310,1
116.569650,19.286090,1
116.779560,46.852540,1
116.831890,21.879420,1
117.759870,24.171960,1
117.945030,42.078560,1
118.189720,20.060540,1
118.398500,40.789830,1
118.417270,16.484280,1
118.477150,45.400270,1
118.483530,26.889940,1
119.139860,41.687930,1
119.207140,42.109040,1
119.220100,29.328400,1
119.521570,14.924610,1
119.907010,27.449720,1
119.948870,11.418710,1
120.769770,22.126130,1
121.225920,21.607530,1
121.798820,19.744340,1
122.380140,10.296550,1
122.835710,14.211970,1
123.169840,7.257940,1
124.315750,3.184410,1
124.486930,5.991330,1
124.506110,20.836120,1
124.506880,7.694330,1
125.102490,39.230530,1
125.252850,34.193270,1
125.746130,58.348050,1
125.789840,20.791600,1
126.094140,23.945210,1
126.933750,7.980710,1
127.501490,34.544090,1
127.854660,56.157030,1
128.293800,4.176850,1
128.843910,6.024680,1
129.083420,6.944540,1
129.195250,15.216380,1
129.318630,3.935030,1
129.424890,4.232990,1
130.197800,37.116970,1
130.455780,-0.175420,1
130.763520,24.044210,1
131.846090,7.985720,1
131.945780,39.494060,1
132.995590,4.156800,1
133.473660,13.588930,1
134.388700,14.048180,1
134.863990,43.929440,1
136.249690,-0.701920,1
136.459600,0.663400,1
136.551190,40.777360,1
136.914250,11.858120,1
137.984220,-0.861220,1
138.137240,0.281450,1
138.488580,5.375200,1
138.655710,1.439850,1
140.351630,8.936200,1
140.495460,3.709930,1
140.806380,4.579160,1
141.464820,66.252010,1
141.621800,-0.101610,1
141.878130,-1.222990,1
141.951170,3.428920,1
142.326450,4.325940,1
142.491170,0.252410,1
142.892710,0.507840,1
144.178980,55.188710,1
144.596360,37.753350,1
145.147900,9.637390,1
145.387090,0.125310,1
145.595750,54.025890,1
145.728940,37.626820,1
145.774530,53.846790,1
146.814000,0.118910,1
146.944110,54.832080,1
146.951180,7.573440,1
147.162090,5.357520,1
147.218100,-2.728250,1
147.419650,40.236860,1
147.506040,56.834510,1
148.636680,3.879900,1
149.162840,15.092930,1
149.279590,-0.153600,1
149.761500,2.318440,1
150.485340,10.779830,1
150.706860,14.063160,1
151.238880,11.628500,1
151.262810,37.497510,1
152.970750,54.701780,1
153.172870,55.496070,1
153.774190,13.784110,1
154.102050,-1.011130,1
154.625480,49.063320,1
155.053490,32.793670,1
155.311790,5.293140,1
155.862160,39.352250,1
156.991430,0.074730,1
157.095140,23.905530,1
157.547040,22.647190,1
157.984740,46.852390,1
158.158110,16.648890,1
159.443920,33.028850,1
159.604620,46.953350,1
160.410870,0.833700,1
160.984770,9.641750,1
161.468440,0.402870,1
162.074130,38.254390,1
162.383530,9.266580,1
163.905130,27.378750,1
164.544050,3.194660,1
165.379370,2.917830,1
166.096770,63.718140,1
166.229900,1.315750,1
166.401900,12.906570,1
166.439950,2.665300,1
166.502220,9.592240,1
166.923820,5.437820,1
166.928200,4.359510,1
167.606020,-0.059470,1
168.373720,53.227440,1
168.666270,-0.470750,1
169.481200,57.635070,1
169.506340,36.868900,1
169.623530,32.066670,1
169.920710,14.492390,1
170.260650,4.060020,1
170.463180,2.852160,1
170.807480,2.557530,1
171.831230,4.199230,1
171.846310,-2.725810,1
172.411110,21.128830,1
172.587500,2.369870,1
