key,status,detail
"3.618600,-4.414040",skip,skip ra=3.6186 dec=-4.4140 (n=0)
"2.182260,6.547430",skip,skip ra=2.1823 dec=6.5474 (n=63)
"1.705670,11.913890",skip,skip ra=1.7057 dec=11.9139 (n=2)
"0.200720,1.553790",ok,ok   oid=498201300001168 n=502 ra=0.2007 dec=1.5538
"4.262000,25.099910",ok,ok   oid=600205400000363 n=737 ra=4.2620 dec=25.0999
"1.835160,0.050650",ok,ok   oid=396214300001625 n=231 ra=1.8352 dec=0.0507
"3.973900,4.010960",ok,ok   oid=447207200004143 n=379 ra=3.9739 dec=4.0110
"3.026090,-9.760110",skip,skip ra=3.0261 dec=-9.7601 (n=62)
"4.494850,20.568750",ok,ok   oid=550209100001413 n=571 ra=4.4948 dec=20.5688
"6.029490,1.106230",ok,ok   oid=447202300021695 n=381 ra=6.0295 dec=1.1062
"7.703650,15.577200",ok,ok   oid=551203400003965 n=351 ra=7.7036 dec=15.5772
"10.421120,-0.327180",ok,ok   oid=397214400015759 n=384 ra=10.4211 dec=-0.3272
"7.564850,3.055280",skip,skip ra=7.5648 dec=3.0553 (n=45)
"7.549150,10.252360",skip,skip ra=7.5492 dec=10.2524 (n=51)
"10.913900,13.743460",skip,skip ra=10.9139 dec=13.7435 (n=41)
"5.858730,28.353580",ok,ok   oid=601216400007587 n=1359 ra=5.8587 dec=28.3536
"3.440310,29.358220",ok,ok   oid=600213200013261 n=1225 ra=3.4403 dec=29.3582
"11.723530,5.568530",skip,skip ra=11.7235 dec=5.5685 (n=56)
"11.301100,0.474210",ok,ok   oid=397213200005946 n=490 ra=11.3011 dec=0.4742
"13.514240,15.746840",ok,ok   oid=552204400002623 n=395 ra=13.5142 dec=15.7468
"13.372480,12.073960",ok,ok   oid=501212400029107 n=541 ra=13.3725 dec=12.0740
"11.246190,-1.108140",ok,ok   oid=397209200028752 n=495 ra=11.2462 dec=-1.1081
"14.327270,24.942200",ok,ok   oid=602207300029955 n=507 ra=14.3273 dec=24.9422
"14.956290,27.006750",ok,ok   oid=602211300000898 n=637 ra=14.9563 dec=27.0068
"17.113310,23.152840",skip,skip ra=17.1133 dec=23.1528 (n=0)
"13.602000,4.739220",ok,ok   oid=448210400006776 n=395 ra=13.6020 dec=4.7392
"15.348520,1.012590",ok,ok   oid=448201400038027 n=238 ra=15.3485 dec=1.0126
"17.877520,4.937640",ok,ok   oid=449211300006299 n=199 ra=17.8775 dec=4.9376
"17.222440,10.318620",skip,skip ra=17.2224 dec=10.3186 (n=0)
"18.299250,1.595130",ok,ok   oid=449203300009533 n=500 ra=18.2993 dec=1.5951
"19.925520,-0.317210",ok,ok   oid=399216300018048 n=285 ra=19.9255 dec=-0.3172
"19.980320,3.500080",ok,ok   oid=449206300000783 n=412 ra=19.9803 dec=3.5001
"19.388750,1.120060",ok,ok   oid=449202300005867 n=434 ra=19.3888 dec=1.1201
"19.239710,18.689970",ok,ok   oid=552205100001313 n=417 ra=19.2397 dec=18.6900
"18.998120,6.560780",skip,skip ra=18.9981 dec=6.5608 (n=12)
"18.900480,0.564590",ok,ok   oid=398213100012344 n=347 ra=18.9005 dec=0.5646
"21.064520,24.198430",skip,skip ra=21.0645 dec=24.1984 (n=49)
"20.572610,-0.299800",ok,ok   oid=399216400005082 n=328 ra=20.5726 dec=-0.2998
"21.527150,7.719410",ok,ok   oid=449213200004406 n=472 ra=21.5271 dec=7.7194
"20.190530,3.493640",skip,skip ra=20.1905 dec=3.4936 (n=8)
"19.992010,0.730640",skip,skip ra=19.9920 dec=0.7306 (n=1)
"25.381350,-9.431660",ok,ok   oid=348211300005360 n=215 ra=25.3814 dec=-9.4317
"20.972800,0.160780",skip,skip ra=20.9728 dec=0.1608 (n=0)
"23.058540,-2.527110",skip,skip ra=23.0585 dec=-2.5271 (n=19)
"23.234690,0.723930",ok,ok   oid=399214200012406 n=449 ra=23.2347 dec=0.7239
"21.067470,6.404380",skip,skip ra=21.0675 dec=6.4044 (n=54)
"23.258720,14.170970",ok,ok   oid=502214300019317 n=527 ra=23.2587 dec=14.1710
"25.565280,8.107440",ok,ok   oid=450215100001623 n=167 ra=25.5653 dec=8.1074
"25.474890,1.084850",ok,ok   oid=450203400014568 n=607 ra=25.4749 dec=1.0849
"25.588010,22.460980",ok,ok   oid=553213200009809 n=476 ra=25.5880 dec=22.4610
"26.400650,25.988590",ok,ok   oid=603205200008448 n=415 ra=26.4006 dec=25.9886
"23.746910,-0.597450",skip,skip ra=23.7469 dec=-0.5975 (n=59)
"22.780910,0.703840",skip,skip ra=22.7809 dec=0.7038 (n=12)
"29.055970,26.470650",skip,skip ra=29.0560 dec=26.4706 (n=9)
"27.770260,11.266290",skip,skip ra=27.7703 dec=11.2663 (n=13)
"26.061620,-5.981600",ok,ok   oid=399201400003942 n=157 ra=26.0616 dec=-5.9816
"29.690770,-0.360710",skip,skip ra=29.6908 dec=-0.3607 (n=92)
"30.100500,0.093210",ok,ok   oid=400214300017778 n=361 ra=30.1005 dec=0.0932
"28.290680,22.074790",skip,skip ra=28.2907 dec=22.0748 (n=0)
"29.457170,31.435670",skip,skip ra=29.4572 dec=31.4357 (n=60)
"29.689400,23.670050",ok,ok   oid=604203200004906 n=658 ra=29.6894 dec=23.6700
"29.519800,-0.872750",ok,ok   oid=400211100011368 n=377 ra=29.5198 dec=-0.8728
"30.242640,0.232130",skip,skip ra=30.2426 dec=0.2321 (n=35)
"29.555990,-1.742210",ok,ok   oid=400211400010960 n=227 ra=29.5560 dec=-1.7422
"30.545280,15.587590",ok,ok   oid=554202300019673 n=561 ra=30.5453 dec=15.5876
"34.469160,-4.065520",ok,ok   oid=401208400004639 n=197 ra=34.4692 dec=-4.0655
"33.644120,1.018850",ok,ok   oid=451202300015122 n=571 ra=33.6441 dec=1.0189
"31.239710,-0.965490",ok,ok   oid=400210100001406 n=359 ra=31.2397 dec=-0.9655
"31.321790,-6.242150",skip,skip ra=31.3218 dec=-6.2421 (n=3)
"31.723970,-7.875350",skip,skip ra=31.7240 dec=-7.8754 (n=68)
"35.109540,-4.273220",ok,ok   oid=401207300006573 n=349 ra=35.1095 dec=-4.2732
"31.589750,3.724690",ok,ok   oid=451207200008240 n=586 ra=31.5897 dec=3.7247
"36.043240,-2.776580",ok,ok   oid=401207100009019 n=425 ra=36.0432 dec=-2.7766
"34.538370,2.196630",skip,skip ra=34.5384 dec=2.1966 (n=0)
"32.036520,0.516370",ok,ok   oid=400213200013665 n=444 ra=32.0365 dec=0.5164
"31.933590,-6.165560",ok,ok   oid=349215200000359 n=323 ra=31.9336 dec=-6.1656
"36.204260,-0.659860",skip,skip ra=36.2043 dec=-0.6599 (n=12)
"39.341430,-1.037840",ok,ok   oid=401209200002100 n=317 ra=39.3414 dec=-1.0378
"37.044260,-1.814770",ok,ok   oid=401210300025301 n=465 ra=37.0443 dec=-1.8148
"39.596940,-6.272200",ok,ok   oid=350215100008851 n=515 ra=39.5969 dec=-6.2722
"35.738320,-0.530560",ok,ok   oid=401215300026292 n=318 ra=35.7383 dec=-0.5306
"35.191260,-5.854610",skip,skip ra=35.1913 dec=-5.8546 (n=41)
"41.430140,-0.236650",ok,ok   oid=402216400013270 n=224 ra=41.4301 dec=-0.2366
"41.975140,4.483980",skip,skip ra=41.9751 dec=4.4840 (n=69)
"41.126620,4.745390",ok,ok   oid=452210300007018 n=178 ra=41.1266 dec=4.7454
"40.977300,3.443200",ok,ok   oid=452206300001417 n=400 ra=40.9773 dec=3.4432
"62.287040,-6.123720",ok,ok   oid=405204400010485 n=421 ra=62.2870 dec=-6.1237
"48.884500,0.917670",skip,skip ra=48.8845 dec=0.9177 (n=88)
"111.733660,41.026680",ok,ok   oid=707212400005354 n=1371 ra=111.7337 dec=41.0267
"47.685130,-8.264490",ok,ok   oid=351210200010729 n=313 ra=47.6851 dec=-8.2645
"47.982910,-0.279530",ok,ok   oid=403216300004356 n=428 ra=47.9829 dec=-0.2795
"41.286160,0.619630",ok,ok   oid=402216100004329 n=439 ra=41.2862 dec=0.6196
"44.831300,-7.381240",ok,ok   oid=351216400003464 n=210 ra=44.8313 dec=-7.3812
"113.293990,28.692540",ok,ok   oid=615215400014107 n=469 ra=113.2940 dec=28.6925
"112.948240,38.756990",ok,ok   oid=707207300009398 n=1411 ra=112.9482 dec=38.7570
"113.461690,44.130600",ok,ok   oid=707215100010442 n=953 ra=113.4617 dec=44.1306
"114.037440,35.787800",ok,ok   oid=662213400003568 n=1153 ra=114.0374 dec=35.7878
"116.779560,46.852540",skip,skip ra=116.7796 dec=46.8525 (n=99)
"115.446720,30.545290",skip,skip ra=115.4467 dec=30.5453 (n=82)
"114.318310,38.034000",ok,ok   oid=707203100003636 n=799 ra=114.3183 dec=38.0340
"117.759870,24.171960",ok,ok   oid=1612211200001863 n=137 ra=117.7599 dec=24.1720
"116.831890,21.879420",skip,skip ra=116.8319 dec=21.8794 (n=79)
"117.945030,42.078560",skip,skip ra=117.9450 dec=42.0786 (n=107)
"118.189720,20.060540",ok,ok   oid=566210100007541 n=757 ra=118.1897 dec=20.0605
"116.523800,22.278310",ok,ok   oid=566215100031731 n=812 ra=116.5238 dec=22.2783
"118.398500,40.789830",skip,skip ra=118.3985 dec=40.7898 (n=15)
"118.417270,16.484280",ok,ok   oid=566202100014285 n=514 ra=118.4173 dec=16.4843
"118.483530,26.889940",ok,ok   oid=616212400016664 n=1157 ra=118.4835 dec=26.8899
"116.569650,19.286090",ok,ok   oid=566211400014328 n=639 ra=116.5696 dec=19.2861
"119.207140,42.109040",skip,skip ra=119.2071 dec=42.1090 (n=113)
"119.220100,29.328400",ok,ok   oid=616215200013055 n=1189 ra=119.2201 dec=29.3284
"119.139860,41.687930",ok,ok   oid=707209100022035 n=635 ra=119.1399 dec=41.6879
"118.477150,45.400270",ok,ok   oid=748203100009179 n=206 ra=118.4771 dec=45.4003
"120.769770,22.126130",ok,ok   oid=567216200016338 n=1097 ra=120.7698 dec=22.1261
"119.521570,14.924610",ok,ok   oid=516215200006567 n=568 ra=119.5216 dec=14.9246
"119.907010,27.449720",ok,ok   oid=616211200020828 n=861 ra=119.9070 dec=27.4497
"119.948870,11.418710",ok,ok   oid=516207200018468 n=971 ra=119.9489 dec=11.4187
"121.798820,19.744340",ok,ok   oid=567212400001646 n=1009 ra=121.7988 dec=19.7443
"122.380140,10.296550",ok,ok   oid=516206400019574 n=680 ra=122.3801 dec=10.2965
"122.835710,14.211970",ok,ok   oid=516214400013064 n=998 ra=122.8357 dec=14.2120
"121.225920,21.607530",ok,ok   oid=567216400016513 n=1095 ra=121.2259 dec=21.6075
"124.486930,5.991330",ok,ok   oid=464210200004759 n=786 ra=124.4869 dec=5.9913
"125.789840,20.791600",skip,skip ra=125.7898 dec=20.7916 (n=112)
"125.746130,58.348050",skip,skip ra=125.7461 dec=58.3481 (n=24)
"123.169840,7.257940",ok,ok   oid=464215400012884 n=850 ra=123.1698 dec=7.2579
"125.252850,34.193270",skip,skip ra=125.2528 dec=34.1933 (n=112)
"124.506110,20.836120",skip,skip ra=124.5061 dec=20.8361 (n=24)
