rank,oid,score,label
1,759214400000804,1.00000,0
2,516207100000184,1.00000,0
3,791204200006753,1.00000,1
4,663209100000165,1.00000,0
5,397211300005272,1.00000,0
6,416213300000713,1.00000,1
7,400206100008958,1.00000,0
8,616212400016664,1.00000,1
9,786207200024897,0.99999,1
10,443211200000077,0.99999,1
11,496203300001230,0.99999,1
12,757202100008362,0.99999,1
13,756215400018879,0.99999,1
14,790215200010025,0.99999,0
15,633210100022024,0.99998,1
16,414213300021169,0.99998,1
17,790207300015368,0.99995,1
18,678208100031387,0.99995,1
19,419212100021331,0.99994,0
20,390210100008696,0.99993,1
21,790203300000877,0.99992,0
22,443213200034160,0.99992,1
23,820203300004386,0.99990,1
24,681211200022148,0.99989,0
25,400211400010960,0.99987,1
26,566215100031731,0.99985,1
27,567202400009971,0.99984,0
28,400213200013665,0.99981,1
29,713215300002613,0.99979,0
30,405204400010485,0.99979,1
31,533201200004803,0.99974,1
32,664214100002446,0.99972,0
33,529210100020342,0.99969,0
34,790204100009388,0.99969,0
35,1824201400018109,0.99964,0
36,567216200016338,0.99962,1
37,604212300000146,0.99957,0
38,402212400001330,0.99955,0
39,554202300019673,0.99951,1
40,400214400020408,0.99950,1
41,790209300032050,0.99948,1
42,566211300016393,0.99947,0
43,680205300027499,0.99946,0
44,441214400038355,0.99942,1
45,632211300002198,0.99939,0
46,679203100016463,0.99939,1
47,715212400016867,0.99935,0
48,615209100021536,0.99933,0
49,844204300034123,0.99930,1
50,677202200009192,0.99928,1
51,717214400002036,0.99924,0
52,474203200015943,0.99917,1
53,757203400012335,0.99917,0
54,351216400003464,0.99917,1
55,818211100008510,0.99914,1
56,646205300013639,0.99902,0
57,532202300006142,0.99899,1
58,480214300009587,0.99898,1
59,349215200000359,0.99892,1
60,516215200006567,0.99891,1
61,425214400015835,0.99888,1
62,758203300008718,0.99878,1
63,574215400015290,0.99854,1
64,707212400005354,0.99851,1
65,476204400000075,0.99851,1
66,573208100001260,0.99843,0
67,625203100001920,0.99842,0
68,633211100020390,0.99840,1
69,470205200008131,0.99838,1
70,565213400014580,0.99823,0
71,416214200019398,0.99822,1
72,522202100004568,0.99811,0
73,399201200000517,0.99798,0
74,792212100000017,0.99790,0
75,668215100009566,0.99780,0
76,465207200005416,0.99775,1
77,464215400012884,0.99771,1
78,418214300001171,0.99744,1
79,567216400016513,0.99723,1
80,399214200012406,0.99721,1
81,495202200015626,0.99717,0
82,428213300007783,0.99716,0
83,480204400038400,0.99715,1
84,395206400002569,0.99705,0
85,680208400012037,0.99704,1
86,674215400001821,0.99701,0
87,644206400027217,0.99693,1
88,679216100002767,0.99692,0
89,532208400026328,0.99691,1
90,399216300018048,0.99678,1
91,707202200009699,0.99675,0
92,402211400002699,0.99642,0
93,821216300004539,0.99641,0
94,583214300000873,0.99632,0
95,756216400029277,0.99628,0
96,532203300021353,0.99622,1
97,465205200002608,0.99602,1
98,645205300001389,0.99589,0
99,443213200006505,0.99588,1
100,531206300000326,0.99567,1
