rank,oid,score,label
1,397211300005272,1.00000,0
2,790207300015368,1.00000,1
3,756215400018879,1.00000,1
4,790203300000877,1.00000,0
5,757202100008362,1.00000,1
6,786207200024897,1.00000,1
7,791204200006753,1.00000,1
8,759214400000804,0.99999,0
9,400206100008958,0.99999,0
10,792212100000017,0.99999,0
11,820203300004386,0.99999,1
12,416214200019398,0.99998,1
13,390210100008696,0.99997,1
14,678208100031387,0.99997,1
15,566215100031731,0.99997,1
16,844204300034123,0.99996,1
17,629203400001975,0.99995,1
18,680205300027499,0.99993,0
19,820211100000242,0.99993,0
20,790209300032050,0.99991,1
21,790205400008967,0.99991,1
22,757203400012335,0.99990,0
23,677202200009192,0.99986,1
24,465207200005416,0.99984,1
25,573208100001260,0.99981,0
26,644201200002966,0.99981,0
27,496203300001230,0.99980,1
28,476204400000075,0.99979,1
29,533208100006158,0.99979,0
30,414213300021169,0.99978,1
31,664214100002446,0.99976,0
32,419212100021331,0.99976,0
33,757201200013853,0.99976,0
34,756211200010908,0.99976,1
35,574215400015290,0.99973,1
36,492213300031599,0.99971,1
37,425214400015835,0.99963,1
38,616212400016664,0.99961,1
39,692201200006500,0.99958,1
40,416213300000713,0.99953,1
41,426211200006396,0.99953,1
42,681211200022148,0.99951,0
43,646205300013639,0.99947,0
44,431215200017741,0.99944,1
45,716211400007417,0.99942,0
46,649214400003611,0.99939,0
47,402212400001330,0.99934,0
48,758203300008718,0.99933,1
49,796206100017893,0.99929,0
50,441214400038355,0.99929,1
51,583214300019134,0.99928,0
52,818211100008510,0.99927,1
53,495202200015626,0.99926,0
54,516207100000184,0.99924,0
55,517206400002010,0.99922,0
56,823203300001027,0.99918,0
57,633206100015017,0.99918,1
58,400211400010960,0.99913,1
59,522202100004568,0.99909,0
60,533201200004803,0.99909,1
61,790215200010025,0.99907,0
62,443213200034160,0.99891,1
63,646215300008949,0.99887,0
64,554202300019673,0.99883,1
65,400213200013665,0.99868,1
66,633210100022024,0.99857,1
67,651204300000708,0.99850,0
68,566211300016393,0.99845,0
69,663209100000165,0.99826,0
70,707215100010442,0.99825,1
71,596201100020210,0.99809,0
72,534204400006740,0.99809,1
73,402211400002699,0.99804,0
74,713215300002613,0.99795,0
75,762204300004710,0.99792,1
76,402216400013270,0.99791,1
77,529210100020342,0.99770,0
78,628205400000173,0.99770,0
79,418214300001171,0.99769,1
80,451205200001335,0.99766,0
81,748203100009179,0.99762,1
82,400209400005425,0.99715,0
83,604212300000146,0.99711,0
84,441213300001839,0.99704,0
85,405204400010485,0.99678,1
86,567216200016338,0.99673,1
87,475208300010151,0.99665,0
88,417209100008093,0.99638,0
89,530210400034912,0.99637,1
90,721216300005266,0.99636,1
91,503211100000926,0.99630,0
92,628214300034454,0.99587,1
93,680203100014574,0.99576,1
94,423209400007066,0.99560,1
95,523216400027198,0.99550,1
96,443213200006505,0.99517,1
97,477202100004577,0.99511,
98,646215100003471,0.99488,0
99,422212100004846,0.99480,1
100,758207400005850,0.99477,1
