rank,oid,score,label
1,663209100000165,1.00000,0
2,790207300015368,1.00000,1
3,464213100002667,1.00000,1
4,400206100008958,1.00000,0
5,756215400018879,0.99999,1
6,397211300005272,0.99999,0
7,707212400005354,0.99998,1
8,790203300000877,0.99998,0
9,677202200009192,0.99998,1
10,464215400012884,0.99997,1
11,566215100031731,0.99997,1
12,414213300021169,0.99997,1
13,390210100008696,0.99997,1
14,502215100007565,0.99997,0
15,516207100000184,0.99996,0
16,632211300002198,0.99996,0
17,786207200024897,0.99996,1
18,791204200006753,0.99996,1
19,419212100021331,0.99993,0
20,823203300001027,0.99991,0
21,844204300034123,0.99991,1
22,496203300001230,0.99991,1
23,759214400000804,0.99989,0
24,820203300004386,0.99986,1
25,680208400012037,0.99985,1
26,416214200019398,0.99985,1
27,709209400020149,0.99980,1
28,567202400009971,0.99976,0
29,532202300006142,0.99971,1
30,713215300002613,0.99965,0
31,480214300009587,0.99964,1
32,680205300027499,0.99963,0
33,758203300008718,0.99962,1
34,448201400038027,0.99961,1
35,400213200013665,0.99959,1
36,604212300000146,0.99955,0
37,533201200004803,0.99954,1
38,416211100013055,0.99954,1
39,415209200008915,0.99949,1
40,476204400000075,0.99943,1
41,629203400001975,0.99941,1
42,603207200008374,0.99939,0
43,680203100014574,0.99936,1
44,616212400016664,0.99931,1
45,481205200019719,0.99930,1
46,821216300004539,0.99928,0
47,721216300005266,0.99925,1
48,531206300000326,0.99921,1
49,423209400007066,0.99913,1
50,418214300001171,0.99908,1
51,707215100010442,0.99904,1
52,481211100001406,0.99901,0
53,481213300024795,0.99898,1
54,790209300032050,0.99894,1
55,467208100001306,0.99892,1
56,399201200000517,0.99886,0
57,425214400015835,0.99882,1
58,464206300014651,0.99867,1
59,678208100031387,0.99866,1
60,544204300034945,0.99862,0
61,349215200000359,0.99848,1
62,428212400002215,0.99845,1
63,416213300000713,0.99844,1
64,790205400008967,0.99842,1
65,632216400006674,0.99841,0
66,533208100006158,0.99840,0
67,402211400002699,0.99826,0
68,756216400029277,0.99814,0
69,423211400006728,0.99812,0
70,615211400024629,0.99806,0
71,664214100002446,0.99801,0
72,465205200002608,0.99785,1
73,625203100001920,0.99784,0
74,424207200000228,0.99782,1
75,664205200005378,0.99775,0
76,443211200000077,0.99770,1
77,723208300026455,0.99769,0
78,790204100009388,0.99734,0
79,789212100033800,0.99724,0
80,472212400014203,0.99723,0
81,465207200010325,0.99709,1
82,786212400012179,0.99702,1
83,471206200001940,0.99688,1
84,476205300006606,0.99687,0
85,567216200016338,0.99658,1
86,569211300001954,0.99657,0
87,573208100001260,0.99650,0
88,413214400028816,0.99646,0
89,495202200015626,0.99640,0
90,450203400014568,0.99634,1
91,351215300002965,0.99633,0
92,750202100002866,0.99615,0
93,677204400020537,0.99610,1
94,714213400000325,0.99586,0
95,633203100032615,0.99572,1
96,678205200006534,0.99564,1
97,519204100016486,0.99549,1
98,422215400010400,0.99534,0
99,720208100015785,0.99527,0
100,644206400027217,0.99521,1
