rank,oid,score,label
1,397211300005272,0.99997,0
2,464213100002667,0.99997,1
3,791204200006753,0.99992,1
4,532202300006142,0.99992,1
5,414213300021169,0.99979,1
6,713215300002613,0.99975,0
7,644201200002966,0.99972,0
8,423209400007066,0.99950,1
9,448201400038027,0.99944,1
10,349215200000359,0.99925,1
11,676212400001702,0.99922,0
12,416214200019398,0.99921,1
13,790215200010025,0.99912,0
14,345208100023574,0.99900,0
15,567202400009971,0.99890,0
16,1824210100018546,0.99863,1
17,645205300001389,0.99858,0
18,583210200033845,0.99843,1
19,566215100031731,0.99836,1
20,476205300006606,0.99835,0
21,790207300015368,0.99827,1
22,677202200009192,0.99822,1
23,681211200022148,0.99818,0
24,400214400020408,0.99809,1
25,402212400001330,0.99805,0
26,464214200014738,0.99793,1
27,426211200006396,0.99783,1
28,680208400012037,0.99776,1
29,492205200025848,0.99764,1
30,790209300032050,0.99761,1
31,1824201400018109,0.99756,0
32,677204400020537,0.99753,1
33,474203200015943,0.99739,1
34,719216400013612,0.99738,0
35,419212100021331,0.99737,0
36,790204100009388,0.99731,0
37,573216300003572,0.99718,0
38,423211400006728,0.99704,0
39,628214300034454,0.99664,1
40,677212400013439,0.99660,1
41,522202100004568,0.99657,0
42,756211200010908,0.99652,1
43,584205200007902,0.99645,0
44,680205200011580,0.99644,1
45,721203200001822,0.99636,0
46,820203300004386,0.99634,1
47,757214200008059,0.99594,1
48,631209200001869,0.99591,0
49,795203400006654,0.99574,0
50,787209300002211,0.99540,0
51,502215100007565,0.99539,0
52,818211100008510,0.99495,1
53,790203300000877,0.99487,0
54,429211200008705,0.99460,0
55,416213300000713,0.99434,1
56,573216200000197,0.99432,0
57,786207200024897,0.99429,1
58,477202100010878,0.99385,1
59,464215400012884,0.99370,1
60,756215400018879,0.99352,1
61,714213400000325,0.99338,0
62,501215200003089,0.99333,0
63,718212100003603,0.99325,0
64,574215400015290,0.99309,1
65,707212400005354,0.99298,1
66,573208100001260,0.99274,0
67,576215300003750,0.99255,
68,402210200002075,0.99255,0
69,678207400000090,0.99184,0
70,680210300003011,0.99172,0
71,479203400001587,0.99164,0
72,390210100008696,0.99152,1
73,622204400008026,0.99136,0
74,680203100014574,0.99118,1
75,713211300000117,0.99109,0
76,533208100006158,0.99105,0
77,566210100007541,0.99088,1
78,678208100031387,0.99031,1
79,492213300031599,0.99015,1
80,443211200000077,0.98984,1
81,574201100001000,0.98965,
82,477207100006499,0.98926,0
83,818202100004448,0.98912,0
84,419216100009466,0.98874,1
85,425214400015835,0.98845,1
86,524208100008364,0.98843,
87,673210200026874,0.98813,0
88,575206200018290,0.98805,0
89,634204300015708,0.98780,1
90,717209100006728,0.98777,0
91,525205300000266,0.98755,
92,481213300025153,0.98743,0
93,531210300001799,0.98683,
94,449203300009533,0.98677,1
95,397213200005946,0.98661,1
96,663209100000165,0.98655,0
97,420213400008346,0.98642,1
98,397214400015759,0.98587,1
99,707215100010442,0.98567,1
100,415213300003667,0.98561,0
