rank,oid,score,label
1,416214200019398,1.00000,1
2,397211300005272,1.00000,0
3,419212100021331,1.00000,0
4,349215200000359,0.99997,1
5,414213300021169,0.99997,1
6,681211200022148,0.99996,0
7,1824210100018546,0.99995,1
8,400206100008958,0.99995,0
9,664214100002446,0.99992,0
10,573208100001260,0.99988,0
11,791204200006753,0.99986,1
12,680208400012037,0.99976,1
13,790215200010025,0.99974,0
14,631211100004210,0.99972,1
15,532201400021308,0.99968,0
16,465207200005416,0.99960,1
17,402216400013270,0.99958,1
18,476204400000075,0.99944,1
19,416213300000713,0.99932,1
20,756211200010908,0.99931,1
21,550207200010182,0.99929,1
22,721216300005266,0.99928,1
23,631205200013265,0.99924,1
24,758203300008718,0.99921,1
25,529210100020342,0.99915,0
26,756216400029277,0.99909,0
27,790209300032050,0.99898,1
28,566215100031731,0.99875,1
29,792212100000017,0.99874,0
30,583210200033845,0.99869,1
31,477202100004577,0.99864,
32,423209400007066,0.99859,1
33,754213300027611,0.99853,1
34,678208100031387,0.99853,1
35,795203400006654,0.99837,0
36,574215400015290,0.99825,1
37,678206300006158,0.99818,1
38,1824201400018109,0.99802,0
39,677204400020537,0.99802,1
40,756215400018879,0.99788,1
41,790207300015368,0.99785,1
42,707212400005354,0.99777,1
43,680210300003011,0.99759,0
44,466202400025164,0.99759,1
45,422212100004846,0.99752,1
46,475208300010151,0.99749,0
47,567216200016338,0.99729,1
48,451202300038208,0.99729,0
49,495202200015626,0.99727,0
50,529213100005274,0.99721,
51,645205300001389,0.99721,0
52,583211300024486,0.99718,1
53,680203100014574,0.99716,1
54,628205400000173,0.99688,0
55,532204200012133,0.99684,0
56,516214400013064,0.99683,1
57,632211300002198,0.99677,0
58,709209400020149,0.99674,1
59,431215200017741,0.99670,1
60,758207400005850,0.99667,1
61,715212400016867,0.99654,0
62,680205300027499,0.99648,0
63,500201200035782,0.99642,
64,1824211300008105,0.99625,0
65,516207200018468,0.99622,1
66,399216300018048,0.99621,1
67,492205200025848,0.99619,1
68,530210400034912,0.99615,1
69,629203400001975,0.99613,1
70,786207200024897,0.99595,1
71,532202300006142,0.99592,1
72,584206200002906,0.99583,0
73,467208100001306,0.99580,1
74,471206200001940,0.99577,1
75,470205200008131,0.99555,1
76,604212300000146,0.99545,0
77,403215100009672,0.99541,0
78,819205400001150,0.99529,1
79,651204300000708,0.99528,0
80,757214200011393,0.99523,1
81,790205400008967,0.99522,1
82,400213200013665,0.99516,1
83,680205200011580,0.99501,1
84,664205200022448,0.99461,0
85,628214300034454,0.99435,1
86,633210100022024,0.99421,1
87,757201200013853,0.99414,0
88,509211400012099,0.99406,0
89,663209100000165,0.99384,0
90,790203300000877,0.99348,0
91,757202100008362,0.99348,1
92,443211200000077,0.99331,1
93,679208100008376,0.99322,1
94,676212400001702,0.99314,0
95,820203300004386,0.99311,1
96,405204400010485,0.99303,1
97,474203200015943,0.99298,1
98,678211200002643,0.99290,1
99,554202300019673,0.99276,1
100,678205200006534,0.99261,1
